                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                0.22432,                0.20198,                0.90696,                0.94786,                0.89158,                 0.9499,                0.82991,                0.57984,                0.38926,                 1.1046,                0.00604,                0.00604,                0.00604
                    122,                0.22573,                 0.2002,                0.90683,                0.95024,                0.89239,                0.95036,                0.83107,                0.57882,                0.38779,                 1.1034,               0.006007,               0.006007,               0.006007
                    123,                0.22413,                0.20063,                0.90719,                0.95351,                0.89063,                0.95066,                0.83146,                0.57755,                0.38561,                 1.1022,               0.005974,               0.005974,               0.005974
                    124,                0.22219,                0.19901,                0.90637,                0.95443,                0.88908,                0.95135,                0.83257,                0.57629,                0.38426,                 1.1011,               0.005941,               0.005941,               0.005941
                    125,                0.22478,                0.19936,                0.90518,                0.95353,                0.88908,                0.95163,                0.83307,                0.57494,                0.38344,                 1.0994,               0.005908,               0.005908,               0.005908
                    126,                   0.22,                0.20067,                0.90333,                0.95269,                0.88764,                0.95077,                0.83445,                 0.5739,                0.38056,                 1.0984,               0.005875,               0.005875,               0.005875
                    127,                0.22001,                0.19943,                0.90545,                0.95561,                0.88832,                0.95124,                0.83466,                0.57273,                0.37896,                 1.0972,               0.005842,               0.005842,               0.005842
                    128,                0.22085,                0.19906,                0.90707,                0.95566,                0.88875,                0.95148,                 0.8365,                0.57185,                0.37759,                 1.0965,               0.005809,               0.005809,               0.005809
                    129,                0.21916,                0.19712,                0.90396,                0.95685,                0.88908,                0.95111,                 0.8376,                0.57051,                 0.3756,                 1.0951,               0.005776,               0.005776,               0.005776
                    130,                0.21734,                0.19686,                0.90465,                0.95406,                0.89288,                0.95195,                0.83795,                 0.5697,                0.37428,                 1.0943,               0.005743,               0.005743,               0.005743
                    131,                0.21772,                0.19762,                0.90339,                0.95379,                0.89624,                0.95194,                0.83864,                0.56879,                 0.3733,                 1.0931,                0.00571,                0.00571,                0.00571
                    132,                0.21862,                0.19526,                 0.9016,                0.95563,                0.89794,                0.95231,                0.83891,                0.56753,                0.37231,                 1.0911,               0.005677,               0.005677,               0.005677
                    133,                0.21793,                0.19687,                0.89995,                 0.9496,                0.89955,                0.95218,                0.83965,                  0.566,                0.37147,                  1.089,               0.005644,               0.005644,               0.005644
                    134,                0.21622,                0.19489,                0.90226,                0.95134,                0.89668,                0.95244,                0.84022,                0.56507,                0.36986,                 1.0879,               0.005611,               0.005611,               0.005611
                    135,                0.21537,                 0.1924,                0.90006,                0.95154,                0.89801,                0.95276,                0.84102,                0.56389,                0.36786,                 1.0864,               0.005578,               0.005578,               0.005578
                    136,                0.21542,                0.19554,                0.90215,                0.95565,                0.89474,                0.95285,                0.84151,                 0.5626,                0.36614,                  1.085,               0.005545,               0.005545,               0.005545
                    137,                0.21629,                0.19267,                0.89972,                0.95623,                0.89642,                0.95338,                0.84243,                 0.5618,                 0.3647,                 1.0839,               0.005512,               0.005512,               0.005512
                    138,                0.21363,                0.19048,                0.90057,                0.95274,                0.90098,                0.95482,                0.84393,                0.56069,                0.36278,                 1.0824,               0.005479,               0.005479,               0.005479
                    139,                0.21583,                0.19485,                0.89957,                0.95097,                 0.9013,                0.95504,                0.84374,                0.55992,                0.36115,                 1.0811,               0.005446,               0.005446,               0.005446
                    140,                0.21151,                0.19288,                0.90277,                0.95443,                0.90143,                0.95522,                0.84416,                0.55851,                0.35956,                 1.0795,               0.005413,               0.005413,               0.005413
                    141,                 0.2128,                0.19077,                0.89967,                0.95175,                0.90143,                0.95533,                 0.8436,                 0.5573,                0.35836,                 1.0784,                0.00538,                0.00538,                0.00538
                    142,                0.21123,                0.18874,                0.89987,                0.95182,                0.90185,                0.95542,                0.84374,                0.55624,                0.35778,                 1.0776,               0.005347,               0.005347,               0.005347
                    143,                0.21429,                0.19196,                0.90113,                 0.9498,                0.90264,                0.95578,                0.84467,                0.55548,                0.35636,                 1.0769,               0.005314,               0.005314,               0.005314
