                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    138,                 0.1559,                0.14927,                 0.8791,                0.96675,                0.90523,                0.96015,                 0.8876,                0.44361,                  0.288,                 1.0169,               0.005479,               0.005479,               0.005479
                    139,                0.15655,                0.15252,                0.87648,                0.96677,                0.90557,                0.96013,                0.88834,                0.44189,                0.28742,                 1.0152,               0.005446,               0.005446,               0.005446
                    140,                0.15589,                0.14945,                0.87787,                0.96484,                0.90641,                0.96003,                0.88832,                0.44091,                0.28765,                 1.0141,               0.005413,               0.005413,               0.005413
                    141,                0.15471,                0.14746,                0.87532,                0.96714,                 0.9056,                0.96009,                0.88885,                0.43945,                0.28738,                 1.0128,                0.00538,                0.00538,                0.00538
                    142,                0.15493,                0.14862,                0.87686,                0.96677,                0.90517,                0.96007,                0.89011,                0.43827,                0.28718,                 1.0116,               0.005347,               0.005347,               0.005347
                    143,                0.15637,                0.15092,                0.87807,                0.96741,                0.90447,                0.96037,                0.89042,                0.43684,                0.28683,                 1.0102,               0.005314,               0.005314,               0.005314
                    144,                0.15307,                0.14697,                 0.8762,                0.96982,                0.90387,                0.96045,                0.89095,                0.43558,                 0.2858,                 1.0091,               0.005281,               0.005281,               0.005281
                    145,                0.15269,                0.14658,                0.87485,                0.96989,                0.90416,                0.96065,                0.89117,                0.43419,                0.28453,                 1.0082,               0.005248,               0.005248,               0.005248
                    146,                0.15383,                 0.1455,                0.87811,                0.97001,                0.90411,                0.96081,                0.89196,                0.43309,                0.28403,                 1.0077,               0.005215,               0.005215,               0.005215
                    147,                0.15304,                0.14471,                0.87529,                 0.9718,                0.90699,                0.96099,                0.89298,                0.43155,                0.28299,                 1.0064,               0.005182,               0.005182,               0.005182
                    148,                0.15192,                0.14747,                0.87537,                0.97049,                0.90683,                0.96104,                0.89367,                0.43053,                 0.2819,                 1.0054,               0.005149,               0.005149,               0.005149
                    149,                0.14958,                0.14353,                0.87473,                0.97107,                0.90622,                0.96115,                0.89419,                0.42912,                0.28153,                 1.0042,               0.005116,               0.005116,               0.005116
                    150,                0.15076,                0.14198,                0.87583,                0.96498,                0.91094,                0.96232,                0.89463,                0.42773,                0.28067,                 1.0028,               0.005083,               0.005083,               0.005083
                    151,                0.15219,                0.14375,                0.87485,                0.96507,                0.91165,                0.96227,                0.89553,                0.42623,                 0.2798,                 1.0016,                0.00505,                0.00505,                0.00505
                    152,                 0.1498,                0.14204,                0.87483,                0.96758,                0.90988,                0.96226,                0.89512,                0.42489,                0.27993,                 1.0006,               0.005017,               0.005017,               0.005017
                    153,                0.14938,                0.13963,                0.87315,                0.96158,                0.91498,                0.96219,                0.89479,                0.42369,                0.27895,                0.99929,               0.004984,               0.004984,               0.004984
                    154,                0.14682,                0.14049,                0.87466,                0.95851,                 0.9173,                0.96202,                0.89547,                 0.4219,                0.27844,                0.99796,               0.004951,               0.004951,               0.004951
                    155,                0.14819,                0.14254,                0.87422,                0.95654,                0.91775,                0.96227,                 0.8963,                 0.4205,                0.27735,                0.99693,               0.004918,               0.004918,               0.004918
                    156,                0.14767,                 0.1408,                0.87216,                0.95841,                0.91716,                0.96239,                 0.8956,                0.41946,                0.27656,                0.99615,               0.004885,               0.004885,               0.004885
                    157,                0.14942,                0.14153,                0.87411,                0.95775,                0.91916,                0.96234,                0.89656,                0.41837,                0.27624,                0.99537,               0.004852,               0.004852,               0.004852
                    158,                0.14768,                0.14107,                0.87249,                0.95735,                0.91957,                0.96214,                0.89664,                0.41713,                0.27546,                0.99418,               0.004819,               0.004819,               0.004819
                    159,                0.14722,                0.13874,                0.87386,                0.95257,                0.92144,                0.96213,                0.89757,                0.41631,                0.27421,                0.99331,               0.004786,               0.004786,               0.004786
                    160,                0.14674,                0.13722,                0.87226,                0.96455,                0.91268,                0.96217,                0.89755,                0.41537,                0.27339,                0.99219,               0.004753,               0.004753,               0.004753
