                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.38543,                0.32431,                 1.0041,                0.83455,                0.75735,                 0.8452,                0.65821,                0.88653,                0.70019,                 1.4408,                0.00802,                0.00802,                0.00802
                     62,                0.38548,                0.32612,                 1.0051,                 0.8498,                0.74725,                0.84598,                0.65865,                0.88564,                0.69651,                 1.4402,               0.007987,               0.007987,               0.007987
                     63,                0.38441,                0.32126,                0.99969,                0.85854,                0.75004,                0.84454,                0.66085,                0.88416,                0.69177,                 1.4379,               0.007954,               0.007954,               0.007954
                     64,                0.38105,                0.31843,                0.99611,                0.85598,                0.74917,                0.84563,                0.66147,                0.88226,                0.68878,                 1.4337,               0.007921,               0.007921,               0.007921
                     65,                  0.382,                0.32047,                 1.0031,                0.85035,                0.75332,                0.84883,                0.66368,                0.88153,                0.68376,                 1.4345,               0.007888,               0.007888,               0.007888
                     66,                 0.3787,                0.32128,                0.99853,                0.85011,                 0.7529,                0.84986,                0.66457,                0.87917,                0.68082,                 1.4324,               0.007855,               0.007855,               0.007855
                     67,                0.37728,                0.31696,                  0.996,                0.84978,                0.75853,                0.85133,                0.66601,                0.87651,                0.67888,                 1.4296,               0.007822,               0.007822,               0.007822
                     68,                0.37811,                0.31844,                0.99264,                0.84857,                0.75464,                0.85139,                0.66607,                0.87458,                0.67682,                 1.4254,               0.007789,               0.007789,               0.007789
                     69,                0.36892,                 0.3141,                0.99129,                0.82278,                0.77667,                0.85157,                0.66807,                0.87238,                0.67763,                 1.4229,               0.007756,               0.007756,               0.007756
                     70,                0.37275,                0.31734,                0.99595,                0.85717,                 0.7515,                0.85204,                0.66949,                0.87102,                0.67889,                 1.4204,               0.007723,               0.007723,               0.007723
                     71,                0.37162,                0.31203,                 0.9918,                0.86019,                0.75269,                0.85322,                0.67093,                  0.871,                0.67787,                 1.4185,                0.00769,                0.00769,                0.00769
                     72,                0.36685,                0.30766,                0.98926,                0.86542,                0.75169,                0.85441,                0.67241,                0.86909,                0.67468,                 1.4161,               0.007657,               0.007657,               0.007657
                     73,                0.37153,                0.30999,                0.99371,                0.85933,                0.75458,                0.85569,                0.67265,                0.86786,                0.67158,                 1.4146,               0.007624,               0.007624,               0.007624
                     74,                0.36937,                 0.3077,                0.98984,                0.86247,                0.75824,                0.85653,                0.67489,                0.86559,                0.67009,                  1.413,               0.007591,               0.007591,               0.007591
                     75,                0.37056,                0.30866,                0.99182,                0.84842,                0.76593,                0.85686,                0.67615,                0.86318,                0.66886,                 1.4101,               0.007558,               0.007558,               0.007558
                     76,                0.36799,                0.31029,                 0.9884,                0.85864,                0.76075,                0.85753,                0.67633,                0.86066,                0.66524,                 1.4065,               0.007525,               0.007525,               0.007525
                     77,                0.36661,                0.30747,                0.98595,                0.85389,                0.76813,                0.85819,                0.67811,                0.85804,                0.66403,                 1.4031,               0.007492,               0.007492,               0.007492
